work_year;experience_level;employment_type;job_title;salary;salary_currency;employee_residence;work_type;company_location;company_size
2021;Senior Level;Full Time;Data Analytics Engineer;50000;USD;VN;Fully Remote;GB;Medium
2021;Executive;Full Time;Data Science Consultant;59000;EUR;FR;Fully Remote;ES;Small
2021;Senior Level;Full Time;Data Engineer;65000;EUR;RO;Hybrid;GB;Small
2021;Mid Level;Full Time;Machine Learning Engineer;74000;USD;JP;Hybrid;JP;Small
2021;Senior Level;Full Time;Data Science Manager;152000;USD;US;Fully Remote;FR;Large
2021;Entry Level;Full Time;Machine Learning Engineer;21844;USD;CO;Hybrid;CO;Medium
2021;Mid Level;Full Time;Big Data Engineer;18000;USD;MD;On Site;MD;Small
2021;Senior Level;Full Time;Data Science Manager;174000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Research Scientist;120500;CAD;CA;Hybrid;CA;Large
2021;Mid Level;Full Time;Data Scientist;147000;USD;US;Hybrid;US;Large
2021;Entry Level;Full Time;BI Data Analyst;9272;USD;KE;Fully Remote;KE;Small
2021;Senior Level;Full Time;Machine Learning Engineer;1799997;INR;IN;Fully Remote;IN;Large
2021;Senior Level;Full Time;Data Science Manager;4000000;INR;IN;Hybrid;US;Large
2021;Entry Level;Full Time;Data Science Consultant;90000;USD;US;Fully Remote;US;Small
2021;Mid Level;Full Time;Data Scientist;52000;EUR;DE;Hybrid;AT;Medium
2021;Senior Level;Full Time;Machine Learning Infrastructure Engineer;195000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Data Scientist;32000;EUR;ES;Fully Remote;ES;Large
2021;Senior Level;Full Time;Research Scientist;50000;USD;FR;Fully Remote;US;Small
2021;Mid Level;Full Time;Data Scientist;160000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Scientist;69600;BRL;BR;On Site;BR;Small
2021;Senior Level;Full Time;Machine Learning Engineer;200000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Engineer;165000;USD;US;On Site;US;Medium
2021;Mid Level;Freelance;Data Engineer;20000;USD;IT;On Site;US;Large
2021;Senior Level;Full Time;Data Analytics Manager;120000;USD;US;On Site;US;Large
2021;Mid Level;Full Time;Machine Learning Engineer;21000;EUR;SI;Hybrid;SI;Large
2021;Mid Level;Full Time;Research Scientist;48000;EUR;FR;Hybrid;FR;Small
2021;Mid Level;Full Time;Data Engineer;48000;GBP;HK;Hybrid;GB;Small
2021;Entry Level;Full Time;Big Data Engineer;435000;INR;IN;On Site;CH;Large
2021;Entry Level;Full Time;Machine Learning Engineer;21000;EUR;DE;Hybrid;DE;Medium
2021;Senior Level;Full Time;Principal Data Engineer;185000;USD;US;Fully Remote;US;Large
2021;Entry Level;Part Time;Computer Vision Engineer;180000;DKK;DK;Hybrid;DK;Small
2021;Mid Level;Full Time;Data Scientist;76760;EUR;DE;Hybrid;DE;Large
2021;Mid Level;Full Time;Machine Learning Engineer;75000;EUR;BE;Fully Remote;BE;Medium
2021;Senior Level;Full Time;Data Analytics Manager;140000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Machine Learning Engineer;180000;PLN;PL;Fully Remote;PL;Large
2021;Mid Level;Full Time;Data Scientist;85000;GBP;GB;Hybrid;GB;Large
2021;Mid Level;Full Time;Data Scientist;2500000;INR;IN;On Site;IN;Medium
2021;Mid Level;Full Time;Data Scientist;40900;GBP;GB;Hybrid;GB;Large
2021;Senior Level;Full Time;Machine Learning Scientist;225000;USD;US;Fully Remote;CA;Large
2021;Executive;Contract;Principal Data Scientist;416000;USD;US;Fully Remote;US;Small
2021;Senior Level;Full Time;Data Scientist;110000;CAD;CA;Fully Remote;CA;Small
2021;Mid Level;Full Time;Data Scientist;75000;EUR;DE;Hybrid;DE;Large
2021;Senior Level;Full Time;Data Scientist;135000;USD;US;On Site;US;Large
2021;Senior Level;Full Time;Data Analyst;90000;CAD;CA;Fully Remote;CA;Medium
2021;Entry Level;Full Time;Big Data Engineer;1200000;INR;IN;Fully Remote;IN;Large
2021;Senior Level;Full Time;ML Engineer;256000;USD;US;Fully Remote;US;Small
2021;Senior Level;Full Time;Director of Data Engineering;200000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Analyst;200000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Architect;180000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Head of Data Science;110000;USD;US;On Site;US;Small
2021;Mid Level;Full Time;Research Scientist;80000;CAD;CA;Fully Remote;CA;Medium
2021;Mid Level;Full Time;Data Scientist;39600;EUR;ES;Fully Remote;ES;Medium
2021;Entry Level;Full Time;Data Scientist;4000;USD;VN;On Site;VN;Medium
2021;Entry Level;Full Time;Data Engineer;1600000;INR;IN;Hybrid;IN;Medium
2021;Senior Level;Full Time;Data Scientist;130000;CAD;CA;Fully Remote;CA;Large
2021;Mid Level;Full Time;Data Analyst;80000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Engineer;110000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Scientist;165000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;AI Scientist;1335000;INR;IN;Fully Remote;AS;Small
2021;Mid Level;Full Time;Data Engineer;52500;GBP;GB;Hybrid;GB;Large
2021;Entry Level;Full Time;Data Scientist;31000;EUR;FR;Hybrid;FR;Large
2021;Mid Level;Full Time;Data Engineer;108000;TRY;TR;On Site;TR;Medium
2021;Senior Level;Full Time;Data Engineer;70000;GBP;GB;Hybrid;GB;Large
2021;Senior Level;Full Time;Principal Data Analyst;170000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Data Scientist;115000;USD;US;Hybrid;US;Large
2021;Entry Level;Full Time;Data Scientist;90000;USD;US;Fully Remote;US;Small
2021;Executive;Full Time;Principal Data Engineer;600000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;Data Scientist;2100000;INR;IN;Fully Remote;IN;Medium
2021;Mid Level;Full Time;Data Analyst;93000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Big Data Architect;125000;CAD;CA;Hybrid;CA;Medium
2021;Mid Level;Full Time;Data Engineer;200000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Principal Data Scientist;147000;EUR;DE;Fully Remote;DE;Medium
2021;Senior Level;Full Time;Machine Learning Engineer;185000;USD;US;Hybrid;US;Large
2021;Executive;Full Time;Director of Data Science;120000;EUR;DE;On Site;DE;Large
2021;Mid Level;Full Time;Data Scientist;130000;USD;US;Hybrid;US;Large
2021;Senior Level;Full Time;Data Analyst;54000;EUR;DE;Hybrid;DE;Large
2021;Mid Level;Full Time;Data Scientist;1250000;INR;IN;Fully Remote;IN;Small
2021;Senior Level;Full Time;Machine Learning Engineer;4900000;INR;IN;On Site;IN;Large
2021;Mid Level;Full Time;Data Scientist;21600;EUR;RS;Fully Remote;DE;Small
2021;Senior Level;Full Time;Lead Data Engineer;160000;USD;PR;Hybrid;US;Small
2021;Mid Level;Full Time;Data Engineer;93150;USD;US;On Site;US;Medium
2021;Mid Level;Full Time;Data Engineer;111775;USD;US;On Site;US;Medium
2021;Mid Level;Full Time;Data Engineer;250000;TRY;TR;Fully Remote;TR;Medium
2021;Entry Level;Full Time;Data Engineer;55000;EUR;DE;Hybrid;DE;Medium
2021;Entry Level;Full Time;Data Engineer;72500;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Computer Vision Engineer;102000;BRL;BR;On Site;BR;Medium
2021;Entry Level;Full Time;Data Science Consultant;65000;EUR;DE;On Site;DE;Large
2021;Entry Level;Full Time;Machine Learning Engineer;85000;USD;NL;Fully Remote;DE;Small
2021;Senior Level;Full Time;Data Scientist;65720;EUR;FR;Hybrid;FR;Medium
2021;Entry Level;Full Time;Data Scientist;100000;USD;US;Fully Remote;US;Medium
2021;Entry Level;Full Time;Data Scientist;58000;USD;US;Hybrid;US;Large
2021;Senior Level;Full Time;AI Scientist;55000;USD;ES;Fully Remote;ES;Large
2021;Senior Level;Full Time;Data Scientist;180000;TRY;TR;Hybrid;TR;Large
2021;Entry Level;Full Time;Business Data Analyst;50000;EUR;LU;Fully Remote;LU;Large
2021;Mid Level;Full Time;Data Engineer;112000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;Research Scientist;100000;USD;JE;On Site;CN;Large
2021;Mid Level;Part Time;Data Engineer;59000;EUR;NL;Fully Remote;NL;Large
2021;Senior Level;Contract;Staff Data Scientist;105000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Research Scientist;69999;USD;CZ;Hybrid;CZ;Large
2021;Senior Level;Full Time;Data Science Manager;7000000;INR;IN;Hybrid;IN;Large
2021;Senior Level;Full Time;Head of Data;87000;EUR;SI;Fully Remote;SI;Large
2021;Mid Level;Full Time;Data Scientist;109000;USD;US;Hybrid;US;Large
2021;Mid Level;Full Time;Machine Learning Engineer;43200;EUR;IT;Hybrid;IT;Large
2022;Senior Level;Full Time;Data Engineer;135000;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Analyst;155000;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Analyst;120600;USD;US;Fully Remote;US;Medium
2022;Mid Level;Full Time;Data Scientist;130000;USD;US;On Site;US;Medium
2022;Mid Level;Full Time;Data Scientist;90000;USD;US;On Site;US;Medium
2022;Mid Level;Full Time;Data Engineer;170000;USD;US;Fully Remote;US;Medium
2022;Mid Level;Full Time;Data Engineer;150000;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Analyst;102100;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Analyst;84900;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Scientist;136620;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Scientist;99360;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Scientist;90000;GBP;GB;On Site;GB;Medium
2022;Senior Level;Full Time;Data Scientist;80000;GBP;GB;On Site;GB;Medium
2022;Senior Level;Full Time;Data Scientist;146000;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Scientist;123000;USD;US;Fully Remote;US;Medium
2022;Entry Level;Full Time;Data Engineer;40000;GBP;GB;Fully Remote;GB;Medium
2022;Senior Level;Full Time;Data Analyst;99000;USD;US;On Site;US;Medium
2022;Senior Level;Full Time;Data Analyst;116000;USD;US;On Site;US;Medium
2022;Mid Level;Full Time;Data Analyst;106260;USD;US;On Site;US;Medium
2022;Mid Level;Full Time;Data Analyst;126500;USD;US;On Site;US;Medium
2022;Executive;Full Time;Data Engineer;242000;USD;US;Fully Remote;US;Medium
2022;Executive;Full Time;Data Engineer;200000;USD;US;Fully Remote;US;Medium
2022;Mid Level;Full Time;Data Scientist;50000;GBP;GB;On Site;GB;Medium
2022;Mid Level;Full Time;Data Scientist;30000;GBP;GB;On Site;GB;Medium
2022;Mid Level;Full Time;Data Engineer;60000;GBP;GB;On Site;GB;Medium
2022;Mid Level;Full Time;Data Engineer;40000;GBP;GB;On Site;GB;Medium
2022;Senior Level;Full Time;Data Scientist;165220;USD;US;Fully Remote;US;Medium
2022;Entry Level;Full Time;Data Engineer;35000;GBP;GB;Fully Remote;GB;Medium
2022;Senior Level;Full Time;Data Scientist;120160;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Analyst;90320;USD;US;Fully Remote;US;Medium
2022;Senior Level;Full Time;Data Engineer;181940;USD;US;On Site;US;Medium
2022;Senior Level;Full Time;Data Engineer;132320;USD;US;On Site;US;Medium
2022;Senior Level;Full Time;Data Engineer;220110;USD;US;On Site;US;Medium
